"","sID","trial","trial_ix","A_strength","B_strength","C_strength","A_choice","B_choice","C_choice","trees","fish"
"155",5,3,"12","???","???","???","trees","???","???","???","???"
"156",5,4,"1","???","???","???","???","???","???","2 trees","???"
"157",5,5,"10","???","???","2","???","???","???","???","???"
"158",5,6,"31","???","???","???","???","fish","fish","???","???"
"159",5,7,"6","1","???","???","???","???","???","???","???"
"160",5,8,"4","???","???","???","???","???","???","3 trees","???"
"161",5,9,"15","???","???","???","???","fish","???","???","???"
"162",5,10,"7","???","1","???","???","???","???","???","???"
"163",5,11,"17","???","???","???","fish","???","fish","1 tree","???"
"164",5,12,"att1","???","???","???","???","???","???","???","4"
"165",5,13,"29","???","???","???","fish","???","fish","???","???"
"166",5,14,"2","???","???","???","???","???","???","3 trees","???"
"167",5,15,"35","???","???","???","fish","???","???","???","???"
"168",5,16,"30","???","???","???","fish","fish","???","???","???"
"169",5,17,"3","???","???","???","???","???","???","2 trees","???"
"170",5,18,"23","???","???","???","???","???","???","2 trees","???"
"171",5,19,"21","???","???","???","fish","fish","???","???","???"
"172",5,20,"19","???","3","???","???","fish","???","???","???"
"173",5,21,"13","???","???","???","???","fish","???","???","???"
"174",5,22,"18","1","2","???","???","???","???","???","???"
"175",5,23,"11","???","???","???","fish","???","???","???","???"
"176",5,24,"att2","???","???","???","???","???","???","???","8"
"177",5,25,"5","???","???","???","???","???","???","1 tree","???"
"178",5,26,"25","???","???","???","???","fish","???","???","???"
"179",5,27,"9","???","3","???","???","???","???","???","???"
"180",5,28,"28","???","???","???","???","fish","fish","???","???"
"181",5,29,"26","???","???","???","fish","???","???","???","???"
"182",5,30,"22","???","???","???","???","???","???","3 trees","???"
"183",5,31,"32","???","???","2","???","???","???","???","???"
"184",5,32,"0","???","???","???","???","???","???","2 trees","???"
"185",5,33,"20","???","???","3","???","???","???","???","???"
"186",5,34,"16","???","???","???","???","???","fish","???","???"
"187",5,35,"33","???","2","???","???","???","???","???","???"
"188",5,36,"24","???","???","???","???","???","???","2 trees","???"
"189",5,37,"14","???","???","???","???","???","fish","???","???"
"190",5,38,"34","???","???","2","???","???","???","???","???"
"191",6,1,"9","???","2","???","???","???","???","???","???"
"192",6,2,"23","???","???","???","???","???","???","1 tree","???"
"193",6,3,"21","???","???","???","fish","trees","???","???","???"
"194",6,4,"6","1","???","???","???","???","???","???","???"
"195",6,5,"34","???","???","2","???","???","???","???","???"
"196",6,6,"10","???","???","1","???","???","???","???","???"
"197",6,7,"5","???","???","???","???","???","???","3 trees","???"
"198",6,8,"8","???","???","1","???","???","???","???","???"
"199",6,9,"31","???","???","???","???","trees","trees","???","???"
"200",6,10,"27","???","???","???","???","trees","???","???","???"
"201",6,11,"35","???","???","???","fish","???","???","???","???"
"202",6,12,"att1","???","???","???","???","???","???","???","4"
"203",6,13,"26","???","???","???","trees","???","???","???","???"
"204",6,14,"25","???","???","???","???","trees","???","???","???"
"205",6,15,"2","???","???","???","???","???","???","3 trees","???"
"206",6,16,"0","???","???","???","???","???","???","1 tree","???"
"207",6,17,"14","???","???","???","???","???","fish","???","???"
"208",6,18,"33","???","2","???","???","???","???","???","???"
"209",6,19,"13","???","???","???","???","trees","???","???","???"
"210",6,20,"20","???","???","3","???","???","???","???","???"
"211",6,21,"3","???","???","???","???","???","???","2 trees","???"
"212",6,22,"29","???","???","???","fish","???","trees","???","???"
"213",6,23,"11","???","???","???","trees","???","???","???","???"
"214",6,24,"att2","???","???","???","???","???","???","???","0"
"215",6,25,"18","2","2","???","???","???","???","???","???"
"216",6,26,"16","???","???","???","???","???","trees","???","???"
"217",6,27,"28","???","???","???","???","fish","trees","???","???"
"218",6,28,"12","???","???","???","trees","???","???","???","???"
"219",6,29,"19","???","3","???","???","fish","???","???","???"
"220",6,30,"30","???","???","???","trees","fish","???","???","???"
